date,tavg,tmin,tmax,prcp,snow,rd,wdir,wspd,wpgt,pres,tsun
2020-11-01,15.5,12.8,18.2,2.3,0,0,214.4,30.5,63.0,1012.0,0
2020-11-02,17.7,11.7,21.2,5.1,0,0,223.1,37.7,72.0,1010.3,80
2020-11-03,10.8,7.3,13.8,0.1,0,0,219.5,23.5,49.0,1022.6,345
2020-11-04,6.7,2.6,11.7,0.0,0,1,251.0,10.0,32.0,1032.3,428
2020-11-05,4.8,0.9,10.3,0.0,0,1,102.2,6.5,15.0,1038.7,492
2020-11-06,6.9,1.5,13.5,0.0,0,1,85.8,15.7,35.0,1032.3,501
2020-11-07,10.2,6.5,15.6,0.0,0,1,111.2,9.7,22.0,1023.8,453
2020-11-08,11.5,7.7,15.4,1.7,0,0,158.7,12.2,41.0,1022.0,239
2020-11-09,12.8,9.6,17.1,0.0,0,1,120.0,8.8,31.0,1022.8,215
2020-11-10,11.4,8.6,15.8,0.0,0,1,224.6,10.6,24.0,1025.0,478
2020-11-11,10.1,8.7,13.0,4.0,0,0,172.1,9.7,37.0,1024.2,133
2020-11-12,10.7,6.9,14.8,0.0,0,1,207.7,21.3,46.0,1018.3,188
2020-11-13,10.4,5.1,14.5,0.0,0,1,196.6,23.5,46.0,1017.4,144
2020-11-14,13.9,12.6,16.8,0.0,0,1,197.9,23.7,53.0,1015.7,299
2020-11-15,13.6,9.0,17.8,4.0,0,0,194.4,35.0,80.0,1006.9,49
2020-11-16,11.0,8.8,12.9,0.1,0,0,229.1,29.9,63.0,1014.1,45
2020-11-17,11.9,9.0,14.0,0.0,0,1,215.7,23.9,44.5,1024.8,0
2020-11-18,12.7,10.8,15.9,0.2,0,0,194.2,20.0,48.2,1022.4,454
2020-11-19,9.4,4.5,14.4,1.1,0,0,259.6,25.1,61.0,1023.0,1
2020-11-20,5.2,2.7,9.5,0.0,0,1,229.6,11.9,26.0,1035.0,45
2020-11-21,6.2,2.1,9.8,0.0,0,1,210.0,28.8,55.0,1031.3,26
2020-11-22,9.3,7.9,10.4,0.4,0,0,228.7,20.7,43.0,1027.0,0
2020-11-23,7.6,4.7,10.9,0.0,0,1,244.7,9.6,36.0,1028.5,194
2020-11-24,6.3,4.2,8.8,0.0,0,1,184.8,14.0,33.0,1023.5,160
2020-11-25,6.8,5.0,9.8,0.0,0,1,186.5,17.3,41.0,1017.5,365
2020-11-26,5.7,3.5,8.2,0.0,0,1,185.8,10.3,33.0,1020.6,254
2020-11-27,3.4,2.1,5.0,0.0,0,1,114.1,8.6,20.0,1019.5,111
2020-11-28,4.5,1.5,9.9,0.0,0,1,89.0,12.0,25.0,1020.1,412
2020-11-29,1.0,-2.9,3.1,0.0,0,1,84.4,15.4,33.0,1025.6,11
2020-11-30,0.1,-3.6,3.9,18.6,0,0,227.8,18.4,51.0,1024.5,143
2020-12-01,5.0,3.3,7.0,5.7,0,0,296.6,17.9,45.0,1015.7,0
2020-12-02,4.3,3.0,5.1,0.2,0,0,42.4,6.6,23.0,1016.9,18
2020-12-03,4.3,3.0,5.6,0.2,0,0,192.1,26.5,58.0,999.6,0
2020-12-04,6.0,3.3,8.2,0.6,0,0,182.2,26.1,64.0,985.2,0
2020-12-05,5.0,2.6,7.8,0.0,0,1,146.4,13.3,36.0,996.9,296
2020-12-06,3.7,2.0,5.2,4.4,0,0,321.4,8.8,19.0,1000.5,0
2020-12-07,4.1,2.0,5.7,6.2,0,0,213.1,15.0,32.0,999.4,0
2020-12-08,4.1,1.4,5.8,0.2,0,0,85.9,7.2,18.0,1003.7,1
2020-12-09,2.7,-0.8,4.9,0.0,0,1,215.8,10.0,24.0,1009.9,120
2020-12-10,0.6,-1.3,3.1,0.0,0,1,143.5,9.0,30.0,1006.8,244
2020-12-11,3.3,1.4,5.4,1.6,0,0,153.2,18.6,39.0,994.7,35
2020-12-12,6.4,4.6,7.5,3.3,0,0,219.7,15.0,36.0,997.1,0
2020-12-13,7.4,5.6,9.9,1.1,0,0,220.1,21.9,52.0,1009.4,70
2020-12-14,8.3,6.3,11.0,6.7,0,0,190.4,27.7,64.0,1007.5,86
2020-12-15,8.0,6.3,9.2,8.3,0,0,199.1,18.2,46.0,1010.3,0
2020-12-16,8.5,5.4,11.5,0.0,0,1,166.4,13.6,37.0,1015.4,45
2020-12-17,9.7,6.4,12.4,1.0,0,0,211.8,23.3,47.0,1018.7,177
2020-12-18,7.3,5.4,11.0,0.0,0,1,190.6,19.7,47.0,1020.8,371
2020-12-19,9.5,6.1,13.0,0.0,0,1,188.3,24.3,53.0,1014.4,255
2020-12-20,9.4,6.8,11.2,0.0,0,1,209.6,20.0,47.0,1018.0,11
2020-12-21,7.6,4.9,11.5,6.7,0,0,196.6,29.5,65.0,1016.1,0
2020-12-22,13.0,11.1,15.4,7.3,0,0,240.4,28.7,67.0,1012.8,59
2020-12-23,11.4,9.4,12.3,8.4,0,0,214.3,22.8,66.0,1010.6,0
2020-12-24,6.5,4.4,9.6,1.9,0,0,280.6,20.5,55.0,1011.3,0
2020-12-25,3.6,1.7,5.1,0.0,0,1,304.2,12.8,35.0,1023.9,11
2020-12-26,4.2,2.6,6.3,0.0,0,1,225.7,25.8,68.0,1022.1,165
2020-12-27,5.1,4.2,6.1,2.0,0,0,197.5,45.5,91.0,989.0,0
2020-12-28,4.5,1.9,5.9,0.9,0,0,176.6,15.3,43.0,977.8,14
2020-12-29,3.5,1.3,6.1,0.1,0,0,212.9,15.0,46.0,988.1,56
2020-12-30,4.4,3.1,6.1,3.9,0,0,224.7,16.9,34.0,1001.7,0
2020-12-31,3.1,1.7,4.3,3.8,0,0,241.4,9.5,37.0,1003.1,0
2021-01-01,3.1,1.5,5.3,0.0,0,1,261.6,9.3,19.0,1009.2,45
2021-01-02,2.8,1.5,4.2,0.0,0,1,153.0,4.9,23.0,1013.9,0
2021-01-03,3.3,2.0,4.1,0.4,0,0,23.7,12.8,30.0,1014.3,0
2021-01-04,2.6,2.0,3.1,0.0,0,1,41.1,9.0,33.0,1015.5,0
